wlp1,wlv1,wlp2,wlv2,wrp1,wrv1,wrp2,wrv2,trial
0.66,50,0.33,-100,0.33,150,0.66,-75,1
0.25,150,0.75,-50,0.75,100,0.25,-300,2
0.5,100,0.5,-100,0.33,200,0.66,-100,3
0.66,150,0.33,-300,0.33,300,0.66,-150,4
0.5,150,0.5,-150,0.25,300,0.75,-100,5
0.66,100,0.33,-200,0.5,200,0.5,-200,6
0.5,200,0.5,-200,0.33,100,0.66,-50,7
0.33,200,0.66,-100,0.5,150,0.5,-150,8
0.33,150,0.66,-75,0.5,50,0.5,-50,9
0.75,50,0.25,-150,0.25,150,0.75,-50,10
